before EdgeSort
49		55		613
75		10		439
45		67		628
5		60		568
13		89		14
13		29		346
57		28		183
17		11		50
100		52		150
1		10		428
73		56		115
11		40		339
70		62		308
75		56		202
38		53		197
67		22		775
48		58		555
56		58		694
92		100		508
90		6		668
95		67		622
5		6		407
7		100		151
20		58		56
53		91		63
47		62		11
5		31		602
25		77		640
80		34		59
14		82		747
23		43		767
96		49		178
77		45		87
72		75		741
44		18		218
33		93		6
64		13		759
69		30		19
69		48		155
43		30		47
98		72		482
43		77		73
29		67		716
100		56		249
40		98		35
50		54		172
100		9		666
96		47		396
89		11		89
24		89		433
45		9		664
76		7		379
93		99		398
61		34		463
74		44		388
21		72		356
20		22		546
92		63		628
2		78		745
94		79		334
36		2		201
63		61		759
19		20		112
80		5		638
65		3		276
18		5		641
92		54		720
31		2		729
49		63		13
42		51		344
76		16		728
24		63		3
47		51		23
19		82		345
80		23		145
30		99		527
73		82		77
50		26		608
46		49		406
56		48		157
36		94		331
99		72		264
48		42		506
8		80		446
99		52		281
78		33		347
67		72		707
9		59		258
21		42		487
16		44		260
13		31		608
43		27		329
31		81		653
17		69		730
19		64		487
29		35		646
36		62		775
76		80		153
22		63		259
86		73		158
97		34		540
76		60		130
83		63		400
9		6		164
6		84		681
1		51		152
53		52		13
43		37		802
42		60		735
16		21		479
68		53		415
34		11		300
47		68		154
26		4		644
56		54		40
30		96		229
27		12		499
33		20		372
62		9		214
67		65		701
57		95		160
90		89		621
37		75		411
56		90		720
56		93		785
73		45		420
94		6		458
19		58		543
90		70		104
42		53		708
20		15		674
43		34		536
7		81		295
66		51		555
17		21		236
34		24		302
1		8		705
44		61		214
78		5		474
85		4		573
67		6		575
25		28		586
61		12		694
86		59		661
85		82		32
87		26		581
86		4		508
37		4		300
66		38		383
18		71		181
62		43		221
54		16		140
15		71		88
23		85		152
61		8		462
61		36		754
26		68		505
88		98		506
97		40		663
52		54		499
56		3		27
8		81		728
50		25		511
52		79		166
44		20		694
58		96		161
98		66		647
94		18		164
21		51		396
48		35		542
72		88		533
17		84		190
61		90		672
79		98		367
3		32		126
49		37		505
40		84		762
72		12		808
66		10		297
100		84		141
10		85		674
72		9		199
62		87		376
87		37		357
88		46		376
92		61		506
84		15		780
14		64		740
75		95		377
57		14		478
25		66		92
100		20		23
69		36		554
58		63		323
39		13		716
57		13		264
37		48		410
53		73		504
12		13		167
11		67		70
97		11		265
5		75		262
63		99		427
3		27		478
59		46		363
46		14		685
94		17		660
52		30		674
85		34		321
53		50		556
78		22		297
24		25		439
36		12		127
29		26		117
1		36		688
13		100		671
71		48		373
13		24		75
42		43		684
29		43		208
97		2		175
16		10		642
74		16		84
13		96		317
50		87		541
97		9		697
67		31		321
77		5		680
17		15		408
66		48		690
38		52		396
30		18		269
44		73		565
38		30		198
90		100		506
49		45		116
53		30		683
49		82		214
52		90		151
6		86		694
28		9		607
13		79		186
8		66		404
30		51		613
60		44		419
52		32		92
97		65		348
62		51		213
64		83		704
47		75		401
81		16		224
24		40		189
66		85		156
30		17		122
100		87		717
93		34		413
94		75		594
56		88		124
100		54		160
25		88		52
61		86		642
16		34		380
79		35		608
47		24		592
6		30		29
99		78		645
50		7		150
12		25		301
85		56		58
48		23		11
83		41		58
72		53		370
83		82		502
70		17		552
58		34		402
38		14		121
55		78		118
1		53		541
89		36		566
33		90		621
22		25		450
7		31		405
80		25		130
71		93		525
79		48		766
63		84		798
11		48		679
50		20		318
95		74		63
70		67		386
38		78		322
8		20		600
34		65		111
22		45		549
7		69		91
93		41		168
100		78		793
47		85		703
73		4		301
19		13		715
after EdgeSort
72		12		808
43		37		802
63		84		798
100		78		793
56		93		785
84		15		780
36		62		775
67		22		775
23		43		767
79		48		766
40		84		762
64		13		759
63		61		759
61		36		754
14		82		747
2		78		745
72		75		741
14		64		740
42		60		735
17		69		730
31		2		729
8		81		728
76		16		728
56		90		720
92		54		720
100		87		717
39		13		716
29		67		716
19		13		715
42		53		708
67		72		707
1		8		705
64		83		704
47		85		703
67		65		701
97		9		697
61		12		694
44		20		694
56		58		694
6		86		694
66		48		690
1		36		688
46		14		685
42		43		684
53		30		683
6		84		681
77		5		680
11		48		679
52		30		674
20		15		674
10		85		674
61		90		672
13		100		671
90		6		668
100		9		666
45		9		664
97		40		663
86		59		661
94		17		660
31		81		653
98		66		647
29		35		646
99		78		645
26		4		644
16		10		642
61		86		642
18		5		641
25		77		640
80		5		638
45		67		628
92		63		628
95		67		622
33		90		621
90		89		621
49		55		613
30		51		613
13		31		608
50		26		608
79		35		608
28		9		607
5		31		602
8		20		600
94		75		594
47		24		592
25		28		586
87		26		581
67		6		575
85		4		573
5		60		568
89		36		566
44		73		565
53		50		556
66		51		555
48		58		555
69		36		554
70		17		552
22		45		549
20		22		546
19		58		543
48		35		542
1		53		541
50		87		541
97		34		540
43		34		536
72		88		533
30		99		527
71		93		525
50		25		511
92		100		508
86		4		508
92		61		506
90		100		506
48		42		506
88		98		506
49		37		505
26		68		505
53		73		504
83		82		502
27		12		499
52		54		499
19		64		487
21		42		487
98		72		482
16		21		479
3		27		478
57		14		478
78		5		474
61		34		463
61		8		462
94		6		458
22		25		450
8		80		446
24		25		439
75		10		439
24		89		433
1		10		428
63		99		427
73		45		420
60		44		419
68		53		415
93		34		413
37		75		411
37		48		410
17		15		408
5		6		407
46		49		406
7		31		405
8		66		404
58		34		402
47		75		401
83		63		400
93		99		398
38		52		396
96		47		396
21		51		396
74		44		388
70		67		386
66		38		383
16		34		380
76		7		379
75		95		377
88		46		376
62		87		376
71		48		373
33		20		372
72		53		370
79		98		367
59		46		363
87		37		357
21		72		356
97		65		348
78		33		347
13		29		346
19		82		345
42		51		344
11		40		339
94		79		334
36		94		331
43		27		329
58		63		323
38		78		322
67		31		321
85		34		321
50		20		318
13		96		317
70		62		308
34		24		302
73		4		301
12		25		301
34		11		300
37		4		300
78		22		297
66		10		297
7		81		295
99		52		281
65		3		276
30		18		269
97		11		265
57		13		264
99		72		264
5		75		262
16		44		260
22		63		259
9		59		258
100		56		249
17		21		236
30		96		229
81		16		224
62		43		221
44		18		218
62		9		214
49		82		214
44		61		214
62		51		213
29		43		208
75		56		202
36		2		201
72		9		199
38		30		198
38		53		197
17		84		190
24		40		189
13		79		186
57		28		183
18		71		181
96		49		178
97		2		175
50		54		172
93		41		168
12		13		167
52		79		166
9		6		164
94		18		164
58		96		161
57		95		160
100		54		160
86		73		158
56		48		157
66		85		156
69		48		155
47		68		154
76		80		153
1		51		152
23		85		152
52		90		151
7		100		151
100		52		150
50		7		150
80		23		145
100		84		141
54		16		140
76		60		130
80		25		130
36		12		127
3		32		126
56		88		124
30		17		122
38		14		121
55		78		118
29		26		117
49		45		116
73		56		115
19		20		112
34		65		111
90		70		104
52		32		92
25		66		92
7		69		91
89		11		89
15		71		88
77		45		87
74		16		84
73		82		77
13		24		75
43		77		73
11		67		70
53		91		63
95		74		63
80		34		59
83		41		58
85		56		58
20		58		56
25		88		52
17		11		50
43		30		47
56		54		40
40		98		35
85		82		32
6		30		29
56		3		27
100		20		23
47		51		23
69		30		19
13		89		14
53		52		13
49		63		13
47		62		11
48		23		11
33		93		6
24		63		3
0
72		12		808
1
43		37		802
2
63		84		798
3
100		78		793
4
56		93		785
5
84		15		780
6
36		62		775
7
67		22		775
8
23		43		767
9
79		48		766
10
40		84		762
11
64		13		759
12
63		61		759
13
61		36		754
